GROUP,DENSITY,npp,biodiv,pathos,ID,DENZ,ID2,biodivZ,nppZ,pathosZ
Lillooet,0.235,882.8318153,0.246596079,-0.940937152,HG,-0.013888889,0,-0.124313721,-0.287617104,-1.152711608
Wishram,2.317,884.3792068,0.246816095,-0.91088296,HG,5.769444444,0,-0.122742179,-0.285371253,-1.096005585
Comanche,0.0233,891.3914211,0.189607432,-0.666147454,HG,-0.601944444,0,-0.531375486,-0.275193874,-0.634240479
Cupeno,0.488,902.5626528,0.217083213,-0.599240244,HG,0.688888889,0,-0.335119907,-0.258980185,-0.50800046
Haisla,0.191,912.7758266,0.204175008,-0.951198652,HG,-0.136111111,0,-0.427321371,-0.244157001,-1.172072928
Bella-bella,0.2051,927.9601793,0.197500762,-0.949482897,HG,-0.096944444,0,-0.474994557,-0.222118753,-1.168835655
Maidu (Mountain),0.235,949.3838916,0.229938144,-0.816984059,HG,-0.013888889,0,-0.243298971,-0.191024831,-0.918837847
Tubatulabal,0.172,965.6582775,0.214201048,-0.694869487,HG,-0.188888889,0,-0.3557068,-0.167404532,-0.688432994
Wukchumi,0.2421,969.7066527,0.247982271,-0.702817975,HG,0.005833333,0,-0.11441235,-0.161528806,-0.703430142
Micmac,0.0232,974.3337722,0.212487886,-0.850271276,HG,-0.602222222,0,-0.367943671,-0.154813103,-0.981643917
Shasta,0.1709,977.7792501,0.291579479,-0.851189528,HG,-0.191944444,0,0.196996279,-0.149812409,-0.983376468
Squamish,0.565,990.0564197,0.271689661,-0.934026673,HG,0.902777778,0,0.05492615,-0.131993585,-1.139672968
Clallam,0.7,990.0564197,0.27241311,-0.913745491,HG,1.277777778,0,0.060093643,-0.131993585,-1.101406587
Tsimshim,0.419,990.0564197,0.191729204,-0.951615164,HG,0.497222222,0,-0.516219971,-0.131993585,-1.1728588
Coeur d'Alene,0.015,990.0564197,0.239543219,-0.941404733,HG,-0.625,0,-0.174691293,-0.131993585,-1.153593836
Kwakiutl,0.687,997.9658236,0.195023129,-0.932044257,HG,1.241666667,0,-0.492691936,-0.120514044,-1.13593256
Tlingit,0.1142,997.9658236,0.137764916,-0.953673676,HG,-0.349444444,0,-0.901679171,-0.120514044,-1.176742785
Nez-perce,0.0888,1008.427976,0.2445149,-0.931888592,HG,-0.42,0,-0.139179286,-0.105329498,-1.135638853
Kitikitegon,0.0309,1021.881907,0.207076924,-0.850251205,HG,-0.580833333,0,-0.4065934,-0.085802747,-0.981606047
Alacaluf,0.1498,1029.91528,0.117635051,-0.752648878,HG,-0.250555556,0,-1.045463921,-0.07414328,-0.797450713
Kiowa,0.014,1030.782435,0.196991538,-0.657814988,HG,-0.627777778,0,-0.478631871,-0.07288471,-0.618518845
Tasmanians (eastern),0.0817,1032.089562,0.210394995,-0.505806989,HG,-0.439722222,0,-0.382892893,-0.070987573,-0.3317113
Chumash,1.182,1049.003459,0.248862064,-0.63800277,HG,2.616666667,0,-0.108128114,-0.046439102,-0.581137302
Mikea,0.0436,1060.627846,0.170882917,0.442960866,HG,-0.545555556,0,-0.665122021,-0.029567713,1.458416728
Ainu (Hokkaido),0.348,1070.524148,0.320176303,-0.361337762,HG,0.3,0,0.401259307,-0.01520443,-0.059127853
Atsugewi,0.1793,1070.524148,0.239143506,-0.829856708,HG,-0.168611111,0,-0.177546386,-0.01520443,-0.943125864
Nootka,1.539,1070.524148,0.207725456,-0.924548361,HG,3.608333333,0,-0.401961029,-0.01520443,-1.12178936
Kalispel,0.015,1070.524148,0.244404193,-0.946753542,HG,-0.625,0,-0.13997005,-0.01520443,-1.163685928
Lipan Apache,0.0051,1093.821812,0.243899219,-0.288318621,HG,-0.6525,0,-0.143577007,0.018609306,0.078644111
Chenchu,1.233,1118.968515,0.27878674,0.59896524,HG,2.758333333,0,0.105619571,0.055106698,1.752764604
Ojibwa (Kitchibaun),0.05,1120.170623,0.232585149,-0.846463624,HG,-0.527777778,0,-0.224391793,0.056851412,-0.974459668
Rainy River Ojibwa,0.0121,1120.170623,0.232585149,-0.846463624,HG,-0.633055556,0,-0.224391793,0.056851412,-0.974459668
Nomlaki,0.6944,1121.464867,0.250605987,-0.802374446,HG,1.262222222,0,-0.095671521,0.058729851,-0.89127254
Kiowa Apache,0.0414,1128.934062,0.202044665,-0.608159214,HG,-0.551666667,0,-0.442538107,0.069570482,-0.524828706
